language,product_code,product_name,category,brand,description,short_description,product_price,display_price,unit,weight,quantity,tax,image
en,DAN-58899,Bindawood Crystal Jelly Spa Lavender Foot Jelly & Salt Set,Health & Beauty///Beauty///Personal Grooming,Bindawood,Bindawood Crystal Jelly Spa Lavender Foot Jelly & Salt Set,Bindawood Crystal Jelly Spa Lavender Foot Jelly & Salt Set,9.95,9.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/110/928/product/200047506085-1.jpg
ar,DAN-58899,بن داوود مجموعة سبا القدمين كريستال جيلي باللافندر مع الملح,Health & Beauty///Beauty///Personal Grooming,بن داوود,بن داوود مجموعة سبا القدمين كريستال جيلي باللافندر مع الملح,Bindawood Crystal Jelly Spa Lavender Foot Jelly & Salt Set,9.95,9.95 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/110/928/product/200047506085-1.jpg
en,DAN-46829,Lux Bar Soap Tempting Musk 2*170 g,Supermarket///Retail///Packaged Products,,Lux Bar Soap Tempting Musk 2*170 g,Lux Bar Soap Tempting Musk 2*170 g,16.5,16.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/108/045/product/lux-bar-soap-tempting-musk-170g.png
ar,DAN-46829,لوكس صابون المسك الساحر ٢*١٧٠ غرام,Supermarket///Retail///Packaged Products,,لوكس صابون المسك الساحر ٢*١٧٠ غرام,Lux Bar Soap Tempting Musk 2*170 g,16.5,16.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/108/045/product/lux-bar-soap-tempting-musk-170g.png
en,DAN-46827,Lux Bar Velvet Jasmine 2*170 g,Supermarket///Retail///Packaged Products,,Lux Bar Velvet Jasmine 2*170 g,Lux Bar Velvet Jasmine 2*170 g,16.5,16.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/108/046/product/lux-soap-velvet-touch-170g.png
ar,DAN-46827,لوكس صابون الياسمين المخملي ٢*١٧٠ غرام,Supermarket///Retail///Packaged Products,,لوكس صابون الياسمين المخملي ٢*١٧٠ غرام,Lux Bar Velvet Jasmine 2*170 g,16.5,16.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/108/046/product/lux-soap-velvet-touch-170g.png
en,DAN-46825,Lux Bar Soap Creamy Perfection 2*170 g,Supermarket///Retail///Packaged Products,,Lux Bar Soap Creamy Perfection 2*170 g,Lux Bar Soap Creamy Perfection 2*170 g,17.0,17.0 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/084/328/product/lux-soap-creamy-perfection-170g.jpg
ar,DAN-46825,لوكس صابون الكريمة الغنية ٢*١٧٠ غرام,Supermarket///Retail///Packaged Products,,لوكس صابون الكريمة الغنية ٢*١٧٠ غرام,Lux Bar Soap Creamy Perfection 2*170 g,17.0,17.0 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/084/328/product/lux-soap-creamy-perfection-170g.jpg
en,DAN-46826,Lux Bar Soap Soft Rose 2*170 g,Supermarket///Retail///Packaged Products,,Lux Bar Soap Soft Rose 2*170 g,Lux Bar Soap Soft Rose 2*170 g,16.5,16.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/084/293/product/lux-soap-soft-touch-170g.jpg
ar,DAN-46826,لوكس صابون الورد الناعم ٢*١٧٠ غرام,Supermarket///Retail///Packaged Products,,لوكس صابون الورد الناعم ٢*١٧٠ غرام,Lux Bar Soap Soft Rose 2*170 g,16.5,16.5 SAR,piece,0.0,1,0.0,https://d1c124wpoew66.cloudfront.net/spree/images/attachments/000/084/293/product/lux-soap-soft-touch-170g.jpg
